Filename	Seed	#Vars	#Clauses	Optimal found (LS)	Time (LS)	Optimal found (GLS)	Time (GLS)
test_data/max_4_sat/4sat_300_1500_4.cnf	1677856027	300	1500	1487	0.00313605	1500	0.160827
test_data/max_4_sat/4sat_300_1500_34.cnf	1677856027	300	1500	1494	0.0049627	1500	0.0978747
test_data/max_4_sat/4sat_300_1500_24.cnf	1677856027	300	1500	1493	0.00405558	1500	0.067801
test_data/max_4_sat/4sat_300_1500_18.cnf	1677856027	300	1500	1488	0.00488723	1500	0.167177
test_data/max_4_sat/4sat_300_1500_14.cnf	1677856027	300	1500	1488	0.00358506	1500	0.182781
test_data/max_4_sat/4sat_300_1500_19.cnf	1677856028	300	1500	1492	0.00305609	1500	0.133836
test_data/max_4_sat/4sat_300_1500_15.cnf	1677856028	300	1500	1493	0.00516102	1500	0.0611467
test_data/max_4_sat/4sat_300_1500_41.cnf	1677856028	300	1500	1495	0.00380423	1500	0.169203
test_data/max_4_sat/4sat_300_1500_8.cnf	1677856028	300	1500	1493	0.00471711	1500	0.101821
test_data/max_4_sat/4sat_300_1500_36.cnf	1677856028	300	1500	1492	0.00456478	1500	0.164995
test_data/max_4_sat/4sat_300_1500_42.cnf	1677856028	300	1500	1491	0.00462614	1500	0.184463
test_data/max_4_sat/4sat_300_1500_37.cnf	1677856028	300	1500	1491	0.00305535	1500	0.148238
test_data/max_4_sat/4sat_300_1500_33.cnf	1677856029	300	1500	1490	0.00449744	1500	0.191579
test_data/max_4_sat/4sat_300_1500_45.cnf	1677856029	300	1500	1487	0.00388844	1500	0.247889
test_data/max_4_sat/4sat_300_1500_28.cnf	1677856029	300	1500	1492	0.00318642	1500	0.423795
test_data/max_4_sat/4sat_300_1500_5.cnf	1677856030	300	1500	1492	0.00337181	1500	0.200355
test_data/max_4_sat/4sat_300_1500_25.cnf	1677856030	300	1500	1488	0.0032671	1500	0.117309
test_data/max_4_sat/4sat_300_1500_10.cnf	1677856030	300	1500	1496	0.00372812	1500	0.0614981
test_data/max_4_sat/4sat_300_1500_46.cnf	1677856030	300	1500	1490	0.00255512	1500	0.244764
test_data/max_4_sat/4sat_300_1500_43.cnf	1677856030	300	1500	1494	0.00425895	1500	0.0728649
test_data/max_4_sat/4sat_300_1500_40.cnf	1677856030	300	1500	1493	0.00325498	1500	0.107026
test_data/max_4_sat/4sat_300_1500_12.cnf	1677856030	300	1500	1489	0.00399195	1500	0.170919
test_data/max_4_sat/4sat_300_1500_30.cnf	1677856031	300	1500	1487	0.00269611	1500	0.142752
